date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:32	20895/20895	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/magnific-popup/jquery.magnific-popup.min.js	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/magnific-popup/jquery.magnific-popup.min.js	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:32	2907/2907	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2008%20Oct%202015%2023:15:42%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/custom.js	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/custom.js	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:32	114622/114622	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/js/jquery.mobile.customized.min.js	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/js/jquery.mobile.customized.min.js	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:35	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2008%20Oct%202015%2015:25:14%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/fonts/glyphicons-halflings-regular.eot	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/fonts/glyphicons-halflings-regular.eot	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/css/bootstrap.min.css)
13:56:36	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2008%20Oct%202015%2015:25:14%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/fonts/glyphicons-halflings-regular.eot?	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/fonts/glyphicons-halflings-regulard41d.eot	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/css/bootstrap.min.css)
13:56:36	18028/18028	---MCZ	200	added ('OK')	text/plain	date:Thu,%2008%20Oct%202015%2015:25:14%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/fonts/glyphicons-halflings-regular.woff2	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/fonts/glyphicons-halflings-regular.woff2	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/css/bootstrap.min.css)
13:56:40	109025/109025	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2008%20Oct%202015%2015:25:14%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/fonts/glyphicons-halflings-regular.svg	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/fonts/glyphicons-halflings-regular.svg	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/css/bootstrap.min.css)
13:56:41	23424/23424	---M--	200	added ('OK')	application/x-font-woff	date:Thu,%2008%20Oct%202015%2015:25:14%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/fonts/glyphicons-halflings-regular.woff	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/fonts/glyphicons-halflings-regular.woff	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/css/bootstrap.min.css)
13:56:42	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2017%20Mar%202016%2006:56:41%20GMT	https://fonts.googleapis.com/robots.txt		(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:42	68254/68254	---MC-	200	added ('OK')	text/javascript	date:Thu,%2017%20Mar%202016%2006:56:31%20GMT	https://maps.googleapis.com/maps/api/js	/home/ibnuhamdani/websites/hyhy/maps.googleapis.com/maps/api/js	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:56:43	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2008%20Oct%202015%2015:25:14%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/fonts/glyphicons-halflings-regular.ttf	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/fonts/glyphicons-halflings-regular.ttf	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/css/bootstrap.min.css)
13:56:50	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2008%20Oct%202015%2015:25:12%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/font-awesome/fonts/fontawesome-webfont.eot?v=4.4.0	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/font-awesome/fonts/fontawesome-webfont93e3.eot	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/font-awesome/css/font-awesome.min.css)
13:56:55	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2008%20Oct%202015%2015:25:12%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/font-awesome/fonts/fontawesome-webfont.eot?	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/font-awesome/css/font-awesome.min.css)
13:56:55	64464/64464	---MCZ	200	added ('OK')	text/plain	date:Thu,%2008%20Oct%202015%2015:25:12%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/font-awesome/fonts/fontawesome-webfont.woff2?v=4.4.0	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/font-awesome/fonts/fontawesome-webfont93e3.woff2	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/font-awesome/css/font-awesome.min.css)
13:56:56	1093/1093	---M--	200	added ('OK')	image/gif	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/blank.gif	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/blank.gif	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/css/camera.css)
13:56:56	81284/81284	---M--	200	added ('OK')	application/x-font-woff	date:Thu,%2008%20Oct%202015%2015:25:12%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/font-awesome/fonts/fontawesome-webfont.woff?v=4.4.0	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/font-awesome/fonts/fontawesome-webfont93e3.woff	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/font-awesome/css/font-awesome.min.css)
13:57:05	9289/9289	---M--	200	added ('OK')	image/gif	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/camera-loader.gif	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/camera-loader.gif	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/css/camera.css)
13:57:06	937/937	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/patterns/overlay1.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/patterns/overlay1.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/css/camera.css)
13:57:07	935/935	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/patterns/overlay2.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/patterns/overlay2.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/css/camera.css)
13:57:07	938/938	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/patterns/overlay3.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/patterns/overlay3.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/css/camera.css)
13:57:08	924/924	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/patterns/overlay4.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/patterns/overlay4.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/css/camera.css)
13:57:09	924/924	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/patterns/overlay5.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/patterns/overlay5.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/css/camera.css)
13:57:09	24198/24198	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/camera_skins.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/camera_skins.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/css/camera.css)
13:57:10	97/97	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/patterns/overlay7.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/patterns/overlay7.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/css/camera.css)
13:57:10	959/959	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/patterns/overlay6.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/patterns/overlay6.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/css/camera.css)
13:57:11	948/948	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/patterns/overlay8.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/images/patterns/overlay8.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/css/camera.css)
